Accession	Description	Gene	Sum PEP Score	Coverage in Percent	Number of Peptides	Number of PSMs	Number of Unique Peptides	Number of AAs	MW [kDa]	calc. pI	Number of Peptides (by Search Engine): A2 Sequest HT	# Peptides (by Search Engine): AA2 Sequest HT	# Peptides (by Search Engine): AB2 Sequest HT	# Peptides (by Search Engine): AC2 Sequest HT	# Peptides (by Search Engine): AD2 Sequest HT	# Peptides (by Search Engine): AE2 Sequest HT	S1rep1	S1rep2	S1rep3	S2rep1	S2rep2	S2rep3
B5DFN2	S-adenosylhomocysteine hydrolase-like protein 1	Ahcyl1	106.437	46	19	626	9	483	53.7	7.44	13	14	11	13	14	15	24360153.16	24528633.94	23370350.44	17595615.41	16418845.72	15658777.14
D3ZBU7	Similar to putative protein (5S487)	RGD1310819	157.555	41	26	614	26	1151	123.1	7.68	8	16	13	13	14	10	25675135.36	24437755.25	23823160.95	22369416.88	20736801.71	20219694.15
D3ZM62	Tripartite motif-containing protein 2	Trim2	125.771	40	19	577	19	761	82.9	7.37	12	14	14	11	13	14	27335356.8	26302684.56	26343218.02	21630560.88	20975807.28	19903108.78
B2GV06	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial	Oxct1	132.522	55	17	549	17	520	56.2	8.47	12	10	11	11	13	11	60633733.25	54793117.44	56130793.22	42780137.34	40152302.58	36190616.86
D3ZG43	NADH dehydrogenase (Ubiquinone) Fe-S protein 3 (Predicted), isoform CRA_c	Ndufs3	92.94	36	10	543	10	264	30.2	7.53	9	9	8	8	8	8	47978161.5	46083745.13	44670212.78	34019225.05	31199166.03	29609754.63
D3ZA84	Talin 2	Tln2	205.744	23	39	542	33	2542	271.5	5.55	11	15	12	9	6	13	42702793.72	38610854.45	35260487.86	22042911.08	21143253.87	20144779.17
B2RYG6	Ubiquitin thioesterase OTUB1	Otub1	103.331	61	13	508	13	271	31.3	4.94	10	10	10	10	10	9	45404903	44569888.31	43317312.88	36140251.02	33290115.77	31562472
D3ZDU5	Profilin	Pfn2	62.035	51	6	495	6	148	16	7.97	6	6	6	6	6	6	55673309.34	51387357.16	53467254.84	44010531.38	39891797.3	39438579.03
D3ZFY7	Pleckstrin and Sec7 domain-containing 3	Psd3	90.524	16	14	482	3	1012	112	6.52	11	9	6	10	12	11	9736736.656	8913753.188	8978483.313	5982147.406	5532283.281	5240777.219
B5DF41	Syntaphilin	Snph	93.534	40	14	474	14	504	54.5	6.15	9	11	9	9	10	10	13038310.56	14088899.42	12981787.09	11072054.06	10263981.89	9362689.906
D3ZAA9	MAGUK p55 subfamily member 2	Mpp2	101.427	40	17	457	16	552	61.5	6.44	11	11	11	12	11	11	38002346.44	34526808.94	32304181.53	26651906.36	25973189.63	24510141.86
D3ZHY9	RAS protein activator like 1 (GAP1 like) (Predicted)	Rasal1	128.409	36	21	455	21	801	89.5	6.35	14	9	13	10	13	9	28899311.66	27101808.53	26461075.73	18369413.98	17779183.23	16192847.11
A0A5H1ZRV3	Tubulin polymerization-promoting protein	Tppp	96.715	41	10	454	10	235	25.6	9.55	9	8	8	8	8	8	141868435.9	143046343.9	137696403.7	109509411	99114044.25	96296008.44
D3ZC84	Ubiquitin specific peptidase 9, X chromosome (Predicted)	Usp9x	130.391	13	26	448	26	2547	289.3	5.78	13	8	11	11	7	9	19427853.16	19013813.16	17200590.73	13927391.11	13494893	11805272.8
B2RYW9	Fumarylacetoacetate hydrolase domain-containing protein 2	Fahd2	72.404	51	11	435	11	313	34.6	8.35	10	8	9	9	10	10	20918332.19	20385279.47	20021785.78	16146120.56	14378058.28	13545891.88
D3ZB78	PHD finger protein 24	Phf24	89.973	55	15	430	15	363	41.2	5.44	10	8	8	8	10	10	31786917.17	31406817.94	31367636.58	23690103	22291890.84	21325292.61
C7E1V2	Inositol 1,4,5-trisphosphate receptor type 1	Itpr1	137.108	15	29	426	29	2748	312.8	6.04	8	9	8	8	7	8	14673673.64	13815048.77	13350313.22	13276544.3	13115396.91	11798257.34
D3ZPC4	Neural cell adhesion molecule L1	L1cam	103.068	20	15	418	15	1255	140.3	5.78	10	10	7	7	6	11	15525232.53	16112470.66	14301597.56	11802518.14	11224658.25	10504228.22
D3ZE17	Caskin-1	Caskin1	124.058	26	23	408	23	1430	150.2	9.14	10	9	9	8	10	12	17531268.13	16238048.13	17686523.92	12824852.67	12622342.56	11557955.7
D3ZAI6	5'-nucleotidase domain-containing 3	Nt5dc3	73.06	28	14	406	14	546	63.1	8.62	12	9	8	9	8	8	38790804.75	33376821.38	34586559.75	25312607.5	22338358.06	21867748.91
A1L1J8	RAB5B, member RAS oncogene family	Rab5b	58.94	48	8	383	5	215	23.7	8.13	7	8	6	6	6	7	5957869.438	8796066.656	9311714.656	6148324.594	6004650.438	3893172.313
A0JPJ7	Obg-like ATPase 1	Ola1	71.437	44	14	359	14	396	44.5	7.77	11	7	7	7	8	10	43699429.47	42938038.81	38654064.66	32876179.47	30604666.81	27711261.81
B0BNK1	RAB5C, member RAS oncogene family	Rab5c	59.569	72	11	359	8	216	23.4	8.41	7	7	7	6	8	6	8953148	9293225.438	9140197.766	6951008.938	6597778	5929507.289
B0BNA5	Coactosin-like protein	Cotl1	51.305	78	10	352	10	142	15.9	5.4	9	9	10	7	6	8	51660690.88	50767734.81	48771860.88	44991664.19	40570527.63	38798570.31
D3ZFB6	Proline-rich transmembrane protein 2	Prrt2	57.012	41	7	350	7	344	35.8	4.63	5	6	4	4	3	6	11721184.28	11282267.06	11393090.59	9080776.688	9211612.047	8786994.875
A0A4X0W8E9	Active breakpoint cluster region-related protein	Abr	77.363	21	13	338	12	842	95.6	6.48	7	8	9	8	9	7	31435293.59	31081078.88	30326258.63	25532688.14	21946618.41	20567615.39
D3ZFQ8	Cytochrome c-1	Cyc1	66.878	37	8	338	8	326	35.4	9.26	8	7	8	6	6	6	29844539.33	25626700.84	27190233.63	16572534.94	14874665.19	14262911.98
B2GUZ9	Fam49b protein	Fam49b	75.311	44	10	315	8	324	36.8	6.06	8	9	5	6	4	7	20019274.75	19300709.13	19029529.88	15404649.88	13868402.16	13764861.06
B1WC61	Complex I assembly factor ACAD9, mitochondrial	Acad9	76.548	35	18	315	18	625	68.8	7.69	8	9	7	8	8	8	19977374.22	19183045.33	18584296.5	14303608.41	13764670.67	12902804.47
D3ZJR1	Epidermal growth factor receptor pathway substrate 15-like 1	Eps15l1	90.976	21	16	313	16	909	99.4	5.02	13	8	8	5	5	9	17263812.27	17767052.44	16547971.2	13435862.25	12538307.94	11998290.72
A0A5H1ZRU4	Cell adhesion molecule 1	Cadm1	58.323	32	8	304	8	446	49.4	4.84	5	6	7	8	7	6	16494112.13	16603979.75	16525383.31	12433420.91	11689251	11031797.06
B1WC34	Protein kinase C substrate 80K-H	Prkcsh	50.895	25	9	297	9	525	59.2	4.48	6	8	4	5	6	6	12524389.31	14473373.84	13946812.84	9127012.094	8331128.031	9216065.406
D3ZE63	Uncharacterized protein		27.121	43	4	297	4	115	12.6	7.9	4	4	4	4	4	4	62689646.66	60378059.22	60531215.69	42943813.22	39437967.91	37873087.75
D3ZAP9	Glycerol-3-phosphate dehydrogenase [NAD(+)]	Gpd1l	52.029	36	13	297	11	351	38	7.01	8	8	8	7	8	9	14479138.47	15037472.66	13970371.25	10365873.5	9173630.969	9273628.797
D3Z9H2	Hyaluronan and proteoglycan link protein 4	Hapln4	97.65	55	15	296	14	400	42.7	8.85	10	6	9	7	7	6	15457058.83	14978186.25	14815859.56	11767856.61	10967365.3	10495193.97
B2RYJ7	ARP1 actin-related protein 1 homolog B (Yeast)	Actr1b	78.555	35	9	287	2	376	42.3	6.4	7	7	6	6	7	6	7369159.531	6721667.563	6995374.844	5931984.5	5841735.109	5600560.156
B5DEN5	Eukaryotic translation elongation factor 1 beta 2	Eef1b2	55.223	60	8	280	6	225	24.7	4.72	5	6	5	4	6	6	17852261.25	17672221.75	16329474.78	12743468.47	12282852.19	10970374.5
A1L1M0	Protein kinase, cAMP-dependent, catalytic, alpha	Prkaca	62.448	39	11	278	5	351	40.6	8.79	6	9	9	9	4	9	6021011.938	5523732.5	6551901.594	4883009.688	5727115.063	5107789.375
D3ZDC0	Neuroligin-3	Nlgn3	55.446	14	10	272	8	828	91.5	5.8	8	6	7	6	3	6	12564119.39	12180290.22	12150362.11	10608881.25	10587561.86	10514524.82
D3ZAN3	Alpha glucosidase 2 alpha neutral subunit (Predicted)	Ganab	59.535	19	11	267	11	797	90.5	6.2	8	5	8	8	6	5	13495054.72	13426143	13475982.53	10587721.59	9943296.938	10667408.72
B0BN63	Activator of Hsp90 ATPase activity 1	Ahsa1	51.244	46	11	265	11	338	38.1	5.53	4	8	7	6	5	6	21456807.69	21036905.56	16508328.94	13824648.75	12818968.03	13041684.97
B0BNE5	S-formylglutathione hydrolase	Esd	47.073	39	7	260	7	282	31.3	6.9	5	6	5	5	4	5	38055147.94	39406642.5	41352631.31	33008133.25	30736308.06	27177025.81
D3ZM33	Uncharacterized protein		36.494	43	8	260	8	152	17.8	10.99	6	6	4	5	5	5	12012469.38	12039174.34	10894672.47	7187831.063	6212922.906	6051827.594
B2RYN0	Phosphoacetylglucosamine mutase	Pgm3	60.169	29	13	254	13	542	59.6	6.24	6	6	5	4	5	5	14837161.09	13778710.98	13375660.06	10897939.89	8330839.406	8359743.469
B2GUZ5	F-actin-capping protein subunit alpha-1	Capza1	57.83	62	10	253	8	286	32.9	5.69	4	6	6	6	6	6	8544134.953	7890283.172	7533585.781	6529738.938	5074915.969	6102489.641
D3ZPR0	Chromosome segregation 1-like	Cse1l	67.769	20	15	251	15	971	110.1	5.77	6	5	8	6	6	6	5960377.875	6728814.25	6660329.594	5180498.75	4695370.578	4833211.563
B2GV74	Kinesin light chain 2	Klc2	71.989	24	11	251	8	622	68.6	7.03	7	6	4	5	4	4	14665886.39	12799633.39	12232791.56	9973717.375	9685417.18	9310752.766
B5DFE0	Membrane palmitoylated protein 6	Mpp6	52.1	33	14	250	13	540	60.9	6.18	9	8	8	8	6	5	11393251.5	9909249.188	10668602.77	7931885.406	7425345.078	6801471.875
B2RZ72	Actin-related protein 2/3 complex subunit 4	Arpc4	35.805	41	6	247	6	168	19.7	8.43	3	5	4	4	4	5	17357317.22	18316267.45	16388382.13	14374156.55	12714924.14	14808377.72
D3Z955	Phosphoglucomutase 2-like 1	Pgm2l1	79.526	26	14	235	14	621	70.2	6.49	12	5	5	5	3	4	21735567.28	20440967.38	22330552.63	17714235.36	15046261.5	15632138.56
D3ZEI4	Hepatocyte cell adhesion molecule	Hepacam	52.029	32	9	233	9	417	46.5	9.38	3	7	5	7	6	3	12829044.28	13086477.53	12546756.5	9361448	8576180.156	8215574.125
B0BNN3	Carbonic anhydrase 1	Ca1	48.917	48	8	230	8	261	28.3	7.42	5	6	6	5	6	4	15973824.06	14726116.19	14549839.31	11826520.17	10966799.75	9936703.406
B2RYS2	Cytochrome b-c1 complex subunit 7	Uqcrb	24.421	52	6	227	6	111	13.6	9.31	6	4	4	5	4	5	83693255.75	81627982.32	79627005.24	60605643.91	52149878.13	47099869.25
D3ZES7	Plexin A4	Plxna4	73.504	10	16	226	13	1893	212.5	6.87	7	6	5	3	5	6	8117243.625	8174283.906	7906606.188	5844687.359	5231613.031	5921238.984
B2GV99	Myl6 protein	Myl6	37.778	63	8	226	8	152	17	4.65	6	7	6	6	5	5	21152444.56	21138417.31	17958889.94	18227942.56	15672730.38	15433929.75
D3ZPP2	ADP-ribosylation factor-like GTPase 8A	Arl8a	41.004	27	5	221	5	186	21.4	7.77	3	5	5	5	4	4	20348727.44	20471170	19555414.66	15787952.28	13685632.06	13410378.63
D3ZJ01	RAB11-binding and LisH domain, coiled-coil and HEAT repeat-containing	Relch	75.329	20	16	220	16	1218	134.6	5.3	8	5	5	3	3	7	11422385.72	11243254.13	11048863.59	10441126.36	9885918.875	8401835.516
D3ZHX3	DIRAS family GTPase 2	Diras2	39.446	54	8	220	8	199	22.5	8.76	7	5	5	4	5	6	16118798.25	16571860.5	16003148	12390827.63	11372888.13	11532622.25
D3ZCZ9	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	LOC100912599	41.143	58	5	212	5	116	13	9.22	3	5	3	4	4	4	29353175.22	29702468.84	27887574.34	23121254.16	20878564.56	19198129.3
B5DFK6	Adaptor-related protein complex 3 subunit delta 1	Ap3d1	79.154	18	14	212	14	1204	135.6	7.15	6	6	6	5	5	7	10703431.09	10030041.53	9505248.875	5146100.5	4542230.938	4040132.438
B5DF89	Cullin-3	Cul3	64.054	24	15	211	15	768	88.9	8.48	4	7	7	5	5	7	13566284.41	14680047.25	14596702.91	9774026.813	10114797.86	9148442.938
A8WCF8	Tumor protein p63-regulated gene 1-like protein	Tprg1l	48.122	46	7	211	7	266	29.8	7.37	6	5	4	4	4	4	9835662.25	9711768	10338402.25	7533801	6952011.219	6570665.75
B4F774	Ganglioside-induced differentiation-associated protein 1-like 1	Gdap1l1	62.13	44	10	207	10	366	41.7	6.6	6	4	4	4	5	4	20145380.13	18856133.06	16910962.38	13887733.25	11668727.59	10815376.13
D3ZJ08	Histone H3	Hist2h3c2	31.372	40	4	204	1	136	15.4	11.27	4	3	4	3	3	4	3118072.75		835468.25		1484295.25	315274.3438
D3ZFY8	Ubiquitin-conjugating enzyme E2 V1	LOC100912618	27.572	44	6	202	4	147	16.3	7.96	4	5	5	4	5	5	10454837.06	10831591.72	18483790.03	8957548.969	12551268.16	7799017.469
B0BNL2	Peptidyl-prolyl cis-trans isomerase	Pin1	59.449	49	5	200	5	165	18.3	8.82	5	4	5	4	5	5	10997130.41	11137387.03	10190855.25	8334810.531	7889356.125	7044662.469
B2GUZ3	Methylenetetrahydrofolate dehydrogenase (NADP+-dependent) 1-like	Mthfd1l	53.813	16	11	198	11	977	105.8	7.5	3	6	5	5	5	5	7541712.094	7510961.594	7607618.531	4689003.594	5258487.719	4841376.375
B0BMY7	Protein tyrosine kinase 9-like (A6-related protein) (Predicted), isoform CRA_b	Twf2	64.283	35	8	196	7	349	39.4	6.8	3	5	3	2	4	3	10267989.72	9273564.125	9610767.781	8414477.25	7788261.625	7243507.094
B2RYQ2	Serine/threonine-protein phosphatase 2A activator	Ptpa	34.017	32	7	191	7	323	36.6	6.29	4	4	4	5	3	4	13394497.94	13217634.34	12670867.06	10434294.34	9290165.469	8200960.406
B0BN65	Family with sequence similarity 49, member A	Fam49a	51.063	57	11	191	9	323	37.3	6.01	5	6	4	4	4	6	5636235.078	5617674.047	4862479.313	4037864.453	4813576.5	3579708.125
B1WBS4	Similar to Vacuolar protein sorting 26 homolog (VPS26 protein homolog), isoform CRA_a	Vps26b	39.872	28	7	191	7	336	39.1	7.37	4	4	5	4	5	4	7334316.25	8652294.453	7932677.938	6425386.734	5629845.547	5802700.867
D3ZP47	Phosphohistidine phosphatase 1	Phpt1	29.192	38	4	186	4	124	14	5.53	4	3	4	3	3	3	6928170.719	7459853.938	7183390.281	6006351.531	5219325.844	4873289.156
A0A5H1ZRU5	N-terminal EF-hand calcium-binding protein 2	Necab2	56.905	51	12	183	12	352	39.4	4.83	6	8	5	5	4	5	12162780.13	12395750.91	10384317.77	8908290.129	8932876.586	7870289.844
B0K020	CDGSH iron-sulfur domain-containing protein 1	Cisd1	38.696	44	4	182	4	108	12.1	8.84	3	4	4	3	3	3	16719309.69	16367764.53	17032485.31	7355784.875	7494027.031	7099696.938
A1L108	Actin-related protein 2/3 complex subunit 5-like protein	Arpc5l	36.957	59	6	179	6	153	17	6.8	4	4	4	4	4	5	13734351	12732498.41	13869393	10627749.44	9729392.813	9411432.563
B0BN85	Protein SGT1 homolog	Sugt1	52.163	39	10	174	10	336	38.1	5.29	4	4	4	7	6	3	10703285.48	10118151.38	10154311	7797142.016	7354854.844	6866664.688
B0BNE6	NADH dehydrogenase (Ubiquinone) Fe-S protein 8 (Predicted), isoform CRA_a	Ndufs8	35.284	37	6	167	6	212	24	6.21	2	4	3	3	3	4	15247213.5	16006864.94	15016454.38	9800941.75	9679882	9327021.219
B0BN81	40S ribosomal protein S5	Rps5	43.115	48	6	163	6	204	22.9	9.72	3	5	2	3	3	6	9373469.813	9321977.969	8500519.875	4083977.453	3150398.25	5236651.188
D3ZE15	NADH:ubiquinone oxidoreductase subunit A13	Ndufa13	29.137	50	6	156	6	144	16.8	9.48	2	3	4	3	4	3	14918162.41	14235667.94	13743253.03	9744243.469	8964179.766	8002285.703
B2RYP4	Sorting nexin 2	Snx2	31.855	18	8	153	7	519	58.5	5.12	4	4	5	3	4	4	8246792.594	8377116.109	7889276.531	5471314.875	5324695.5	5241548.516
A0A452Q762	BTB domain-containing 8	Btbd8	37.628	10	8	152	8	1367	147.7	7.21	4	3	5	3	5	5	2592929.43	2886342.891	2623308.207	2559971.855	2432461.688	2264453.359
B5DF91	ELAV-like protein 1	Elavl1	40.466	28	7	151	7	326	36.1	9.04	4	2	3	3	3	2	7291920.695	6333165.234	5735110.484	6465730.375	5547576.055	5389498.094
B0K014	D-aminoacyl-tRNA deacylase	Dtd1	28.246	19	4	148	4	209	23.4	7.87	4	4	4	4	4	4	8634959.5	7586179.875	7726229.625	5485814.75	5317758	4842724.875
B2RZ37	Receptor expression-enhancing protein 5	Reep5	17.011	20	4	147	4	189	21.4	8.12	3	2	4	4	3	3	16703007.19	16183134.81	15498070.13	11080298.28	11089457.84	10095088.94
B1WC33	CDC42 effector protein (Rho GTPase binding) 4 (Predicted), isoform CRA_a	Cdc42ep4	40.198	31	7	147	7	350	37.9	5.62	4	4	4	3	3	3	5359345	5158053.156	4985601.328	3766766.547	3726159.781	2726105.273
D3ZJH9	Malic enzyme	Me2	41.714	21	8	147	7	584	65.3	7.75	6	5	4	6	3	2	4700498.031	4843873.031	4821346.875	3485304.422	3500858.406	2882450.922
B2RZC6	Ilf2 protein	Ilf2	32.495	22	6	145	6	390	43	5.26	5	4	4	4	3	4	6516586.781	5641870.438	5501048.406	4944053.594	4155619.234	4029496.563
B0BNM1	NAD(P)H-hydrate epimerase	Naxe	28.663	36	7	144	7	282	30.9	6.89	3	5	4	3	3	3	9840563.781	10066220.59	5455615.844	5613069.281	5150099.375	4922722.875
D3ZJK8	PhoLip_ATPase_N domain-containing protein		26.454	66	6	142	6	106	12.1	6.02	3	2	4	4	2	3	7934486.875	7482013.875	7862457.621	5975097.414	5517719.938	5324978.594
B5DFD8	SH3 domain-binding glutamic acid-rich-like protein	Sh3bgrl	26.704	58	4	141	4	114	12.8	5.07	2	3	4	3	3	4	6414022.188	6138903.688	6814577.078	4776143.469	4601568.813	4875400.469
D3ZD73	DEAD-box helicase 6	Ddx6	40.19	28	9	138	9	483	54.2	8.66	2	3	3	2	3	4	4517902.875	4894746.078	4965439.938	3576819.406	3054028.844	3212104.844
B2GUY4	Dematin actin-binding protein	Dmtn	26.74	20	5	135	5	354	39.5	7.02	2	1	2	3	2	3	6810112.609	7312355.594	6733178.359	5167366.875	4392349.688	4395050.5
A0JPM9	Eukaryotic translation initiation factor 3 subunit J	Eif3j	31.487	41	7	133	7	259	29.2	4.81	3	4	1	5	3	2	5162995.469	5269076.719	4934795.656	4728512.906	4271425.953	3745843.781
D3Z981	Plexin A1	Plxna1	39.162	8	11	127	9	1912	213.1	6.95	3	2	3	1	3	5	6408775.547	5467079.781	5783945.469	5479876.922	4319810.094	4766066.469
B0BND0	Glycerophosphocholine cholinephosphodiesterase ENPP6	Enpp6	45.133	26	8	125	8	440	50.7	6.95	2	3	4	5	1		5849020.313	5603870.125	5505703.063	2516410.438	2169270.797	3013288.344
B2RZ78	Vacuolar protein sorting-associated protein 29	Vps29	19.761	24	4	123	4	182	20.5	6.79	2	3	2	4	3	4	7084173	7511110	7083140.25	5203541.375	5001747.563	4575259.75
D3ZLK9	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	Naxd	34.875	20	5	123	5	365	38.7	8.05	3	2	4	1	1	1	3627846.531	3916310.75	4130020.016	2302154	2429065.984	1888042.625
D3ZBL5	Inositol polyphosphate-4-phosphatase type I A	Inpp4a	33.678	11	7	122	7	939	105.5	6.98	3	3	3	3	2	4	6460884.5	4178630.094	5863742.406	4413446.469	2738169.375	3979214.5
B0BN93	26S proteasome non-ATPase regulatory subunit 13	Psmd13	34.337	18	6	122	6	376	42.8	5.83	4	5	2	3	2	3	26049712.5	24393962.69	23254668.06	16682168.44	15967643.58	13949974.27
B4F7C7	Hebp1 protein	Hebp1	23.052	19	3	119	3	190	21.1	5.43	3	3	3	3	3	3	10992562.63	11048206.69	10364939.38	6996689.813	5971668.875	5775950
D3ZII1	Raftlin family member 2	Rftn2	20.59	12	4	118	4	496	54.7	5.38	3	3	3	2	2	2	5282352.813	5599910.25	4141668.344	3653066.625	3348960.125	2871329.781
B2RZD6	NDUFA4, mitochondrial complex-associated	Ndufa4	18.086	78	5	118	5	82	9.3	9.52	2	3	3	2	3	4	51221055.75	52612290.75	49146885.63	38825825.44	38784437.69	33570228.5
B5DFI9	Protein-serine/threonine kinase	Pdk3	31.743	18	5	116	4	415	47.9	8.81	5	4	3	4	4	2	4270259.844	3955080.5	3815520.094	1931441.438	1839547.875	2472226.594
A1A5L1	Bleomycin hydrolase	Blmh	29.375	21	7	116	7	455	52.4	6.38	3	2	4	3	3	4	5919697.094	3648876.781	6940405.234	5139605.75	4296113.391	4082459.906
B4F7A3	Galectin	Lgalsl	20.216	27	4	111	4	172	18.9	5.35	3	3	2	3	2	2	7623080.625	7162389.938	6875200.063	6414091.438	5897417.375	5973404.563
B1WBY1	Cul1 protein	Cul1	39.701	15	7	111	7	776	89.6	8	4	3	2	4	3		3813336.219	4030089.781	3884354.594	2482149.344	2451570.75	2448942.781
D3ZCA0	Pyridoxal phosphate homeostasis protein	Plpbp	24.662	20	4	111	4	275	30.1	7.93	2	3	1	1	2	2	4220182.125	3932024.875	3902838.75	3218397.313	2952946.688	2526522.563
B0BNM9	Glycolipid transfer protein	GLTP	21.699	33	4	110	4	209	23.7	7.39	3	2	3	3	4	1	3340335.688	3044179.063	2992516.938	2769697.25	2503672.438	2204051.625
D3ZDK7	Glycerol-3-phosphate phosphatase	Pgp	23.388	20	5	109	5	321	34.6	5.35	3	3	3	3	2	2	3031116.594	2597385.688	2315646.078	2186759.109	1999184.797	2019159.25
B5DFB2	RB-binding protein 4, chromatin-remodeling factor	Rbbp4	21.875	18	5	106	3	425	47.6	4.89	2	3	3	2	2	3	1980587.969	1714408.344	1648028.656	1527317.75	1657026.563	1313185.563
B2GV54	Neutral cholesterol ester hydrolase 1	Nceh1	32.851	28	7	106	7	408	45.8	7.05	2	4	2	2	2	4	10965820.25	9471512.688	9743636.875	7683772.156	7445755.781	6136084.672
B1H267	Sorting nexin-5	Snx5	21.024	15	5	106	4	404	46.8	6.62	3	2	3	2	2	4	2279012.188	2299241.781	2930660.438	2120930.469	1857006	1768573.375
D3ZJX5	Mitochondrial import inner membrane translocase subunit TIM50	Timm50	27.179	12	3	102	3	353	39.8	8.13	3	3	2	3	2	3	2892613.5	3079422.875	2935878.75	2130212.563	2003383.375	2115492.75
B2DD29	Serine/threonine-protein kinase BRSK1	Brsk1	35.557	15	7	99	7	778	85.1	9.32	1	2	2	3	1	3	2382409.922	1987314.766	2268171.781	1975287.031	2360466.672	2198794.031
B1H2A2	Fibronectin type 3 and SPRY domain-containing protein	Fsd1	30.703	17	6	98	6	496	55.6	7.28	3	2	2	2	2	3	2604955.125	2403097.688	2296477.688	1920636.766	1877808.969	1641349.906
D3ZPJ0	Shisa family member 7	Shisa7	27.682	13	5	98	5	558	58.3	9.88	4	2	2	2	2	3	2732263.875	2133028.75	2478788.969	2236223.813	2097067.156	1853573.375
D3Z941	Methionyl-tRNA synthetase	Mars	34.768	11	8	97	8	902	101.5	6.46	2	1	2	2	3	2	5307731.75	5027061.531	5133493.094	3603990.266	3099863.125	2982915.563
B5DFC8	Eukaryotic translation initiation factor 3 subunit C	Eif3c	26.457	7	6	97	6	911	105.4	5.78	3	3	3	2	2	3	7242236.672	7111294.219	7605786.75	6195491.063	5166591.672	5381511.703
D3Z9L0	Acylglycerol kinase	Agk	33.03	18	6	96	6	490	54.2	8.6	3	3	4	3	2	3	5606786.156	4088698.406	4734489.594	2637344.344	2404647.281	3480246
D3ZLC1	Lamin B2	Lmnb2	34.545	17	8	95	8	616	68.8	5.26	2	3	5	4	1	2	5595690.625	5206813.359	4441593.438	3444890.656	2872765.766	3447448.234
D3ZNQ6	Ubiquitin-conjugating enzyme E2M	Ube2m	20.301	26	4	92	4	183	20.9	7.69	1	2	2	4	3	4	6345351	6569739.25	6135464.625	4863863.063	4533347.188	3939783.625
