Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Razor + unique peptides 25000am.1	Razor + unique peptides 25000am.2	Razor + unique peptides 25000am.3	Razor + unique peptides 2500am.1	Razor + unique peptides 2500am.2	Razor + unique peptides 2500am.3	Razor + unique peptides 250am.1	Razor + unique peptides 250am.2	Razor + unique peptides 250am.3	Unique peptides 25000am.1	Unique peptides 25000am.2	Unique peptides 25000am.3	Unique peptides 2500am.1	Unique peptides 2500am.2	Unique peptides 2500am.3	Unique peptides 250am.1	Unique peptides 250am.2	Unique peptides 250am.3	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	iBAQ	iBAQ 25000am.1	iBAQ 25000am.2	iBAQ 25000am.3	iBAQ 2500am.1	iBAQ 2500am.2	iBAQ 2500am.3	iBAQ 250am.1	iBAQ 250am.2	iBAQ 250am.3	LFQ intensity 25000am.1	LFQ intensity 25000am.2	LFQ intensity 25000am.3	LFQ intensity 2500am.1	LFQ intensity 2500am.2	LFQ intensity 2500am.3	LFQ intensity 250am.1	LFQ intensity 250am.2	LFQ intensity 250am.3	Potential contaminant	id	Peptide IDs	Peptide is razor	Oxidation (M) site IDs	Oxidation (M) site positions
"P04040ups|CATA_HUMAN_UPS;conta|P04040|CATA_HUMAN"	"P04040ups|CATA_HUMAN_UPS;conta|P04040|CATA_HUMAN"	"26;26"	"26;26"	"26;26"	"P04040ups|CATA_HUMAN_UPS Catalase (Chain 2-527) - Homo sapiens (Human);conta|P04040|CATA_HUMAN Catalase - Homo sapiens (Human)."	2	26	26	26	22	19	21	10	12	9	1	0	1	22	19	21	10	12	9	1	0	1	57.2	57.2	59.624	526	"526;527"	0	200.51	5012500000	156640000	10201000	11561000	12484000	794180	1103200	1019200	25774	0	83657	363540000	255260000	378760000	11121000	12138000	11262000	412800	0	963620		10	"46;83;88;89;164;696;854;914;919;1794;1873;1874;1947;1948;1960;2255;3464;3569;3644;3939;4077;4192;4487;4580;4628;6728"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"7;8"	"11;338"
O00762ups|UBE2C_HUMAN_UPS	O00762ups|UBE2C_HUMAN_UPS	8	8	8	O00762ups|UBE2C_HUMAN_UPS Ubiquitin-conjugating enzyme E2 C (Chain 1-179, N-terminal His tag)- Homo sapiens (Human)	1	8	8	8	8	8	8	4	6	5	2	3	1	8	8	8	4	6	5	2	3	1	70.3	70.3	20.475	185	185	0	75.411	2577300000	198260000	15111000	17719000	16995000	1470900	1921700	1694600	476070	478040	302590	213620000	140030000	210510000	18881000	11103000	12776000	1883900	2122800	33028000		11	"910;1778;2140;3999;4066;5854;6803;6815"	"True;True;True;True;True;True;True;True"	"9;10;11"	"46;49;50"
O76070ups|SYUG_HUMAN_UPS	O76070ups|SYUG_HUMAN_UPS	12	12	11	O76070ups|SYUG_HUMAN_UPS Gamma-synuclein (Chain 1-127) - Homo sapiens (Human)	1	12	12	11	9	10	9	3	2	5	0	0	1	9	9	9	3	2	5	0	0	1	81	70.1	15.494	147	147	0	323.31	1937800000	176160000	11142000	12015000	12411000	881480	557760	911360	0	0	139800	123760000	139150000	126660000	12662000	3297200	5206000	0	0	1188700		12	"1129;1212;1280;1389;1400;2295;2315;3191;5876;5877;5879;6078"	"True;True;True;True;True;True;True;True;True;True;True;True"	"12;13"	"21;58"
P00167ups|CYB5_HUMAN_UPS	P00167ups|CYB5_HUMAN_UPS	5	5	5	P00167ups|CYB5_HUMAN_UPS Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	1	5	5	5	4	4	3	2	2	3	0	0	0	4	4	3	2	2	3	0	0	0	47.1	47.1	16.153	140	140	0	99.954	1138100000	142260000	8350500	11875000	11205000	878890	830680	1161200	0	0	0	83795000	80571000	82149000	8012000	7619800	8341900	0	0	0		13	"1399;1748;5546;5761;7128"	"True;True;True;True;True"		
P00441ups|SODC_HUMAN_UPS	P00441ups|SODC_HUMAN_UPS	4	4	4	P00441ups|SODC_HUMAN_UPS Superoxide dismutase [Cu-Zn] (Chain 2-154) - Homo sapiens (Human)	1	4	4	4	3	3	3	2	1	1	2	2	2	3	3	3	2	1	1	2	2	2	43.8	43.8	15.804	153	153	0	46.541	643150000	58468000	4399800	4202800	3709300	737930	77771	349290	731490	729780	787970	42570000	38800000	35698000	6896500	4830600	4509600	6737400	6607100	6985700		14	"2001;2539;3233;5940"	"True;True;True;True"		
P00709ups|LALBA_HUMAN_UPS	P00709ups|LALBA_HUMAN_UPS	5	5	5	P00709ups|LALBA_HUMAN_UPS Alpha-lactalbumin (Chain 20-142) - Homo sapiens (Human)	1	5	5	5	5	5	5	2	1	2	0	0	0	5	5	5	2	1	2	0	0	0	39	39	14.078	123	123	0	45.487	873480000	124780000	9211900	11318000	10994000	529920	253330	550060	0	0	0	62839000	60350000	64647000	4954500	1588700	4941500	0	0	0		15	"648;1741;2127;3554;4506"	"True;True;True;True;True"	14	90
P00915ups|CAH1_HUMAN_UPS	P00915ups|CAH1_HUMAN_UPS	9	9	9	P00915ups|CAH1_HUMAN_UPS Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	1	9	9	9	7	6	8	1	2	3	0	0	0	7	6	8	1	2	3	0	0	0	51.5	51.5	28.739	260	260	0	112.61	1282000000	80127000	5591500	6163500	6810600	225830	301980	412470	0	0	0	102680000	79266000	87481000	3779400	5388900	6550300	0	0	0		16	"66;502;1242;1434;2096;2437;5349;6420;7065"	"True;True;True;True;True;True;True;True;True"	"15;16"	"148;241"
P00918ups|CAH2_HUMAN_UPS	P00918ups|CAH2_HUMAN_UPS	8	8	8	P00918ups|CAH2_HUMAN_UPS Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	1	8	8	8	8	7	7	5	3	1	0	0	0	8	7	7	5	3	1	0	0	0	45.6	45.6	29.114	259	259	0	46.9	1760700000	103570000	7842200	9573100	8296100	648790	555580	233990	0	0	0	139650000	144570000	140110000	15363000	16493000	6832400	0	0	0		17	"598;1392;2097;2189;4948;5050;6673;6875"	"True;True;True;True;True;True;True;True"		
"P01008ups|ANT3_HUMAN_UPS;CON__P41361"	P01008ups|ANT3_HUMAN_UPS	"19;1"	"19;1"	"19;1"	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	2	19	19	19	17	17	17	4	5	6	0	0	0	17	17	17	4	5	6	0	0	0	51.6	51.6	49.039	432	"432;465"	0	258.72	2613800000	90131000	6597900	6554300	7742900	439620	413830	461130	0	0	0	141320000	106950000	152390000	10347000	10487000	9260100	0	0	0		18	"65;413;518;722;812;1352;1415;1519;1589;1848;2468;2469;2652;3027;3168;4432;5305;5306;6026"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"17;18;19;20;21;22;23;24"	"20;89;251;252;314;315;320;338"
P01031ups|CO5_HUMAN_UPS	P01031ups|CO5_HUMAN_UPS	4	4	4	P01031ups|CO5_HUMAN_UPS Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	1	4	4	4	3	3	1	1	1	1	0	0	0	3	3	1	1	1	1	0	0	0	67.6	67.6	8.2736	74	74	0	53.106	424340000	70724000	5098400	6693300	3765500	593670	484420	462620	0	0	0	12979000	14812000	11238000	3194400	2742600	2571200	0	0	0		19	"158;404;646;3238"	"True;True;True;True"	25	70
P01112ups|RASH_HUMAN_UPS	P01112ups|RASH_HUMAN_UPS	7	7	7	P01112ups|RASH_HUMAN_UPS GTPase HRas (Chain 1-189) - Homo sapiens (Human)	1	7	7	7	6	4	6	2	2	0	0	0	0	6	4	6	2	2	0	0	0	0	54.5	54.5	21.298	189	189	0	82.236	760860000	69169000	3610400	5015500	4487300	373110	402930	0	0	0	0	52395000	64352000	54417000	6135000	6717100	0	0	0	0		20	"3273;4229;5066;5180;5610;5787;6405"	"True;True;True;True;True;True;True"	"26;27"	"111;182"
P01127ups|PDGFB_HUMAN_UPS	P01127ups|PDGFB_HUMAN_UPS	6	6	6	P01127ups|PDGFB_HUMAN_UPS Platelet-derived growth factor B chain (Chain 82-190) - Homo sapiens (Human)	1	6	6	6	5	5	3	0	1	1	1	0	0	5	5	3	0	1	1	1	0	0	64.2	64.2	12.294	109	109	0	50.751	735250000	105040000	7425400	9364800	6014000	0	179280	141530	595710	0	0	45946000	47931000	43996000	0	1354600	757120	5063700	0	0		21	"547;4714;4788;5339;5736;5952"	"True;True;True;True;True;True"	28	12
P01133ups|EGF_HUMAN_UPS	P01133ups|EGF_HUMAN_UPS	1	1	1	P01133ups|EGF_HUMAN_UPS Pro-Epidermal growth factor (EGF) (Chain 971-1023) - Homo sapiens (Human)	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	24.1	24.1	6.3532	54	54	0	9.9765	175980000	87990000	6987100	9478500	6812400	0	0	0	0	0	0	15507000	16749000	13090000	0	0	0	0	0	0		22	6824	True		
P01344ups|IGF2_HUMAN_UPS	P01344ups|IGF2_HUMAN_UPS	3	3	3	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	1	3	3	3	3	3	3	2	2	2	0	0	0	3	3	3	2	2	2	0	0	0	73.1	73.1	7.4754	67	67	0	131.72	1017500000	254380000	14253000	18480000	17007000	1951400	1855800	1861400	0	0	0	80931000	83803000	83875000	11548000	11653000	10519000	0	0	0		23	"634;2147;5095"	"True;True;True"		
P01375ups|TNFA_HUMAN_UPS	P01375ups|TNFA_HUMAN_UPS	6	6	6	P01375ups|TNFA_HUMAN_UPS Tumor necrosis factor, soluble form (Chain 77-233) - Homo sapiens (Human)	1	6	6	6	5	4	4	3	4	5	0	0	0	5	4	4	3	4	5	0	0	0	66.2	66.2	17.352	157	157	0	145.32	1909200000	190920000	13294000	13934000	13396000	1372800	1701000	1466400	0	0	0	153060000	139310000	160190000	14958000	14223000	10967000	0	0	0		24	"903;1474;2269;2597;5989;6505"	"True;True;True;True;True;True"		
P01579ups|IFNG_HUMAN_UPS	P01579ups|IFNG_HUMAN_UPS	5	5	5	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	1	5	5	5	4	4	4	2	3	2	0	0	0	4	4	4	2	3	2	0	0	0	45.5	45.5	16.776	143	143	0	112.42	1035200000	94107000	6764300	8370300	7319800	720170	543660	562580	0	0	0	67107000	68995000	66607000	8568500	7630200	6743300	0	0	0		25	"4128;4474;4728;5566;6912"	"True;True;True;True;True"	29	77
P02144ups|MYG_HUMAN_UPS	P02144ups|MYG_HUMAN_UPS	7	7	7	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	1	7	7	7	5	5	5	2	2	1	0	0	0	5	5	5	2	2	1	0	0	0	62.1	62.1	17.052	153	153	0	86.795	1031000000	79311000	5348100	6727000	5731600	404760	392580	242200	0	0	0	62389000	58367000	68814000	4911500	4774000	2994900	0	0	0		26	"310;2207;2457;2518;5141;6233;6989"	"True;True;True;True;True;True;True"	"30;31"	"55;131"
P02741ups|CRP_HUMAN_UPS	P02741ups|CRP_HUMAN_UPS	5	5	5	P02741ups|CRP_HUMAN_UPS C-reactive protein (Chain 19-224) - Homo sapiens (Human)	1	5	5	5	4	5	4	1	0	0	0	0	0	4	5	4	1	0	0	0	0	0	23.6	23.6	23.251	208	208	0	7.2728	526110000	75159000	4291500	8390100	5298200	223210	0	0	0	0	0	32487000	58640000	52042000	4658800	0	0	0	0	0		27	"160;439;1425;2416;6894"	"True;True;True;True;True"		
P02753ups|RETBP_HUMAN_UPS	P02753ups|RETBP_HUMAN_UPS	5	5	5	P02753ups|RETBP_HUMAN_UPS Retinol-binding protein 4 (Chain 19-201) - Homo sapiens (Human)	1	5	5	5	4	4	4	0	1	1	0	1	0	4	4	4	0	1	1	0	1	0	39.1	39.1	20.575	179	179	0	131.58	512210000	56912000	4378100	4637900	4320900	0	349910	374880	0	194630	0	40411000	31173000	34023000	0	4839300	4970400	0	2698500	0		28	"1862;2232;3823;4941;7112"	"True;True;True;True;True"	32	27
P02787ups|TRFE_HUMAN_UPS	P02787ups|TRFE_HUMAN_UPS	30	30	29	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	1	30	30	29	23	19	22	6	6	7	0	0	0	23	19	21	5	6	7	0	0	0	47.3	45.9	75.181	679	679	0	323.31	3215400000	73078000	5279500	5916300	5989300	337770	320130	357460	0	0	0	211980000	226920000	229940000	9172600	10935000	12189000	0	0	0		29	"82;507;647;672;728;760;827;937;942;950;1043;1128;1132;1181;1208;1604;2530;2649;3166;3306;3319;3468;3744;4569;5060;5129;5380;5643;6760;6994"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"33;34;35"	"109;256;499"
P02788ups|TRFL_HUMAN_UPS	P02788ups|TRFL_HUMAN_UPS	38	38	35	P02788ups|TRFL_HUMAN_UPS Lactotransferrin (Chain 20-710) - Homo sapiens (Human)	1	38	38	35	36	32	32	14	15	14	0	0	0	34	30	30	13	14	14	0	0	0	65.1	60.8	76.164	691	691	0	323.31	6295400000	128480000	9487200	11760000	9987900	564570	627540	909400	0	0	0	437960000	447160000	427610000	38346000	31838000	36576000	0	0	0		30	"639;652;659;671;759;943;964;1027;1120;1448;1595;1608;1666;1667;1829;2023;2100;2267;2636;3224;3318;3396;4018;4567;4968;5003;5026;5098;5133;5396;5450;5584;5824;6546;6721;6997;6998;7121"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"36;37"	"392;593"
P05413ups|FABPH_HUMAN_UPS	P05413ups|FABPH_HUMAN_UPS	9	9	9	P05413ups|FABPH_HUMAN_UPS Fatty acid-binding protein, heart (Chain 2-133) - Homo sapiens (Human)	1	9	9	9	7	6	7	2	1	3	0	0	0	7	6	7	2	1	3	0	0	0	64.4	64.4	14.727	132	132	0	32.089	1059000000	75640000	5388100	6218400	5566800	318820	159300	353980	0	0	0	85607000	70600000	60572000	5446200	4076900	4881800	0	0	0		31	"3658;3659;3719;4174;4960;5288;5340;6199;6762"	"True;True;True;True;True;True;True;True;True"	38	35
"P06396ups|GELS_HUMAN_UPS;CON__Q3SX14"	"P06396ups|GELS_HUMAN_UPS;CON__Q3SX14"	"24;13"	"24;13"	"24;13"	"P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human);"	2	24	24	24	21	22	20	6	7	7	0	1	0	21	22	20	6	7	7	0	1	0	42	42	82.958	755	"755;781"	0	323.31	4101200000	110840000	7668200	10879000	10280000	528630	603640	521150	0	15227	0	239230000	357890000	378250000	12569000	13963000	13758000	0	262520	0	+	32	"168;188;468;569;916;966;1391;1520;1615;2549;4730;4746;4777;4779;4954;5040;5140;5783;5982;5988;6346;6534;6549;6958"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"39;40;41"	"25;406;412"
P06732ups|KCRM_HUMAN_UPS	P06732ups|KCRM_HUMAN_UPS	15	15	15	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	1	15	15	15	15	14	14	4	4	5	0	0	0	15	14	14	4	4	5	0	0	0	46.5	46.5	43.101	381	381	0	308.25	2800100000	112010000	8813100	9792100	9986900	318000	338930	408670	0	0	0	235330000	178490000	228360000	14926000	16110000	16537000	0	0	0		33	"1308;1419;1632;2079;2277;2328;2461;3653;3941;4098;4996;5192;5701;6479;6480"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"42;43"	"207;376"
P08263ups|GSTA1_HUMAN_UPS	P08263ups|GSTA1_HUMAN_UPS	6	6	6	P08263ups|GSTA1_HUMAN_UPS Glutathione S-transferase A1 (Chain 2-222) - Homo sapiens (Human)	1	6	6	6	4	5	4	3	3	3	1	1	2	4	5	4	3	3	3	1	1	2	43.4	43.4	25.5	221	221	0	13.995	1026900000	73352000	4109600	5769700	5127800	1510800	1659500	1851700	1047500	1010500	1107900	78041000	73264000	77436000	6253300	6782000	6654400	26905000	26103000	2844200		34	"68;329;3009;5052;5228;6790"	"True;True;True;True;True;True"	"44;45"	"93;104"
P08758ups|ANXA5_HUMAN_UPS	P08758ups|ANXA5_HUMAN_UPS	15	15	15	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	1	15	15	15	13	14	13	5	6	4	0	0	0	13	14	13	5	6	4	0	0	0	60.8	60.8	35.805	319	319	0	230.71	3256200000	130250000	9113500	12897000	10981000	651340	621510	646060	0	0	0	217520000	195610000	257080000	9544500	12541000	11443000	0	0	0		35	"865;915;1476;1729;1962;2179;2342;3738;4247;4332;4462;4976;5152;5267;6477"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"46;47;48"	"151;258;298"
P09211ups|GSTP1_HUMAN_UPS	P09211ups|GSTP1_HUMAN_UPS	5	5	5	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	1	5	5	5	5	4	5	1	1	0	0	0	0	5	4	5	1	1	0	0	0	0	37.8	37.8	23.224	209	209	0	31.452	533090000	48462000	3634000	4180300	4370800	225880	391470	0	0	0	0	41270000	43369000	42070000	2986600	4899300	0	0	0	0		36	"352;932;4327;4781;6972"	"True;True;True;True;True"	"49;50"	"19;91"
P10145ups|IL8_HUMAN_UPS	P10145ups|IL8_HUMAN_UPS	2	2	2	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	1	2	2	2	2	1	2	1	0	1	0	0	0	2	1	2	1	0	1	0	0	0	34.7	34.7	8.3857	72	72	0	5.0327	393750000	131250000	7996400	7518800	11423000	958330	0	697610	0	0	0	21021000	18881000	27270000	2674600	0	1938900	0	0	0		37	"6143;6360"	"True;True"		
P10599ups|THIO_HUMAN_UPS	P10599ups|THIO_HUMAN_UPS	3	3	3	P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	1	3	3	3	2	1	1	0	1	1	0	0	0	2	1	1	0	1	1	0	0	0	30.9	30.9	12.429	110	110	0	12.019	331910000	41488000	3029900	3519200	3240600	0	473100	347220	0	0	0	26102000	28080000	28117000	0	3206700	2341700	0	0	0		38	"3529;4317;5636"	"True;True;True"	51	42
P10636-8ups|TAU_HUMAN_UPS	P10636-8ups|TAU_HUMAN_UPS	16	16	16	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	1	16	16	16	15	14	16	8	7	6	1	1	0	15	14	16	8	7	6	1	1	0	51.8	51.8	45.718	440	440	0	201.13	4086800000	170280000	12480000	16011000	15439000	1038200	674120	984660	20075	36144	0	295950000	397920000	413570000	18938000	15314000	14870000	575730	509170	0		39	"927;1440;2509;2746;3188;3255;3505;4005;4802;5225;5430;5538;5699;5991;5992;6560"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"52;53;54"	"30;249;418"
P12081ups|SYHC_HUMAN_UPS	P12081ups|SYHC_HUMAN_UPS	26	26	25	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	1	26	26	25	22	18	22	5	7	7	3	5	4	21	17	21	4	6	6	2	4	3	60.4	58.6	58.233	515	515	0	206.31	3341300000	98275000	7515200	7908700	8437400	434870	518480	581060	266290	356010	347660	253220000	258180000	245810000	20185000	20190000	20684000	11454000	15058000	12941000		40	"35;115;123;478;926;1284;2163;2167;2456;2709;2723;2834;2891;2992;3362;3791;3825;4208;4815;4989;5830;6043;6270;6612;6861;6871"	"True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True"	"55;56"	"195;220"
