protein_set_id;sup;accession;gene_name;description;protein_set_score;is_validated;selection_level;#sameset_protein_matches;#subset_protein_matches;coverage;MW;#observable_peptides;#sequences;#specific_sequences;#peptides;#specific_peptides;#peptide_matches;#specific_peptide_matches;peptides_count_A_01.raw.mzDB.t.xml;peptides_count_A_02.raw.mzDB.t.xml;peptides_count_A_03.raw.mzDB.t.xml;peptides_count_A_04.raw.mzDB.t.xml;peptides_count_B_01.raw.mzDB.t.xml;peptides_count_B_02.raw.mzDB.t.xml;peptides_count_B_03.raw.mzDB.t.xml;peptides_count_B_04.raw.mzDB.t.xml;peptides_count_C_01.raw.mzDB.t.xml;peptides_count_C_02.raw.mzDB.t.xml;peptides_count_C_03.raw.mzDB.t.xml;peptides_count_C_04.raw.mzDB.t.xml;psm_count_A_01.raw.mzDB.t.xml;psm_count_A_02.raw.mzDB.t.xml;psm_count_A_03.raw.mzDB.t.xml;psm_count_A_04.raw.mzDB.t.xml;psm_count_B_01.raw.mzDB.t.xml;psm_count_B_02.raw.mzDB.t.xml;psm_count_B_03.raw.mzDB.t.xml;psm_count_B_04.raw.mzDB.t.xml;psm_count_C_01.raw.mzDB.t.xml;psm_count_C_02.raw.mzDB.t.xml;psm_count_C_03.raw.mzDB.t.xml;psm_count_C_04.raw.mzDB.t.xml;raw_abundance_A_01.raw.mzDB.t.xml;raw_abundance_A_02.raw.mzDB.t.xml;raw_abundance_A_03.raw.mzDB.t.xml;raw_abundance_A_04.raw.mzDB.t.xml;raw_abundance_B_01.raw.mzDB.t.xml;raw_abundance_B_02.raw.mzDB.t.xml;raw_abundance_B_03.raw.mzDB.t.xml;raw_abundance_B_04.raw.mzDB.t.xml;raw_abundance_C_01.raw.mzDB.t.xml;raw_abundance_C_02.raw.mzDB.t.xml;raw_abundance_C_03.raw.mzDB.t.xml;raw_abundance_C_04.raw.mzDB.t.xml;abundance_A_01.raw.mzDB.t.xml;abundance_A_02.raw.mzDB.t.xml;abundance_A_03.raw.mzDB.t.xml;abundance_A_04.raw.mzDB.t.xml;abundance_B_01.raw.mzDB.t.xml;abundance_B_02.raw.mzDB.t.xml;abundance_B_03.raw.mzDB.t.xml;abundance_B_04.raw.mzDB.t.xml;abundance_C_01.raw.mzDB.t.xml;abundance_C_02.raw.mzDB.t.xml;abundance_C_03.raw.mzDB.t.xml;abundance_C_04.raw.mzDB.t.xml
67077;1;sp|P33602|NUOG_ECOLI;;sp|P33602|NUOG_ECOLI NADH-quinone oxidoreductase subunit G OS=Escherichia coli (strain K12) OX=83333 GN=nuoG PE=1 SV=4;45,87;true;2;1;0;0;0;-1;2;2;2;2;5;5;;1;1;1;;;;;;1;;;0;1;1;1;0;0;0;0;0;1;0;0;783244,62;414603,59;652614,44;665848;387694,12;91376,24;175074,31;196734,38;453760,78;729079,81;702868,44;816461,88;671986;367134,34;615478,88;615513,12;395485,62;92586,9;172774,27;196280,36;465197,66;731413,94;708004,12;816461,88
67081;1;sp|P0A9M5|XGPT_ECOLI;;sp|P0A9M5|XGPT_ECOLI Xanthine phosphoribosyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=gpt PE=1 SV=1;47,065;true;2;1;0;0;0;-1;1;1;1;1;7;7;;;1;;;;;;1;1;1;1;0;0;1;0;0;;0;0;1;1;1;1;296227,75;321216,56;214303,02;299676,47;115922,66;;179507,12;193692,92;407880,31;215212,73;338135,56;373612,47;254149,06;284439,5;202108,58;277022,38;118252,37;;177148,84;193245,92;418160,78;215901,73;340606,22;373612,47
67095;1;sp|P07913|TDH_ECOLI;;sp|P07913|TDH_ECOLI L-threonine 3-dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=tdh PE=1 SV=1;108,941;true;2;1;0;0;0;-1;2;2;2;2;29;29;2;1;2;1;;;;;2;2;2;2;2;1;2;1;0;;0;0;2;2;2;2;2318881;2067505,75;1837974,75;1714301,75;1526661,5;;1094691,75;934489,88;1315272,25;1726569,88;1821153,38;1537359,25;1989487,62;1830790,5;1733389;1584708,75;1557342,88;;1080310,25;932333,25;1348423,25;1732097,5;1834460;1537359,25
67100;1;sp|P0C0V0|DEGP_ECOLI;;sp|P0C0V0|DEGP_ECOLI Periplasmic serine endoprotease DegP OS=Escherichia coli (strain K12) OX=83333 GN=degP PE=1 SV=1;19,658;true;2;1;0;0;0;-1;1;1;1;1;1;1;;;;1;;;;;;;;;;0;0;1;;0;;0;0;0;0;0;;234569,03;341732,81;312949,53;;197045,56;;204503,19;478768,47;347322,25;304145,41;263093,38;;207712,5;322287,28;289292,06;;199656,25;;204031,23;490835,66;348434,19;306367,72;263093,38
67114;1;sp|P00961|SYGB_ECOLI;;sp|P00961|SYGB_ECOLI Glycine--tRNA ligase beta subunit OS=Escherichia coli (strain K12) OX=83333 GN=glyS PE=1 SV=4;64,895;true;2;1;0;0;0;-1;2;2;2;2;5;5;1;1;;;;;;;;;1;;1;1;0;0;0;;0;0;0;0;1;0;626397,62;526664,19;483583,44;372412,72;335771,56;;279544,31;238953,2;564876,5;557621,44;513601,88;661629,62;537418,81;466364,78;456066,19;344260,09;342519,56;;275871,78;238401,75;579114;559406,62;517354,59;661629,62
67152;1;sp|P0AC33|FUMA_ECOLI;;sp|P0AC33|FUMA_ECOLI Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) OX=83333 GN=fumA PE=1 SV=2;834,49;true;2;1;1;0;0;-1;15;15;15;15;149;149;6;5;8;9;2;1;1;1;7;7;9;7;7;5;8;9;2;1;1;1;8;7;11;9;13637372;13083831;13178556;13102120;5547324,5;6071505;6167856;7199291;14848242;13025182;13338841;14244135;11700206;11585824;12428660;12111662;5658809;6151947;6086825,5;7182677;15222486;13066881;13436305;14244135
67168;1;sp|P0A7V0|RS2_ECOLI;;sp|P0A7V0|RS2_ECOLI 30S ribosomal protein S2 OS=Escherichia coli (strain K12) OX=83333 GN=rpsB PE=1 SV=2;469,817;true;2;1;0;0;0;-1;9;9;9;9;146;146;6;5;6;5;4;3;3;4;6;7;7;8;7;5;7;5;4;3;4;4;6;7;7;8;11467614;9447136;11108782;8510892;4522391;4532792,5;5004374,5;4892920,5;11703424;11082415;12904828;12897423;9838656;8365505;10476661;7867509,5;4613277,5;4592848;4938629,5;4881628,5;11998404;11117896;12999120;12897423
67172;1;sp|P15639|PUR9_ECOLI;;sp|P15639|PUR9_ECOLI Bifunctional purine biosynthesis protein PurH OS=Escherichia coli (strain K12) OX=83333 GN=purH PE=1 SV=1;514,176;true;2;1;0;0;0;-1;9;9;9;9;108;108;4;5;6;4;2;1;2;1;6;5;7;5;4;5;6;4;2;1;3;1;7;6;7;5;6949946,5;5590100;4830593;5865583,5;1941805,88;2031646,5;2093783;2295150;6347544,5;7505447;6564108;4973659;5962718;4950072;4555719;5422173;1980830,38;2058564,12;2066275,88;2289853,25;6507532;7529475,5;6612069,5;4973659
67180;1;sp|P0A7U3|RS19_ECOLI;;sp|P0A7U3|RS19_ECOLI 30S ribosomal protein S19 OS=Escherichia coli (strain K12) OX=83333 GN=rpsS PE=1 SV=2;78,812;true;2;1;0;0;0;-1;2;2;2;2;21;21;2;1;1;2;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;2;1;1;3114059,5;3199401,5;3025580,25;2756406,75;1126548,75;1332951;1463898,62;1568422,75;2838846,5;3736385;3250622,5;2828821;2671712,25;2833092;2853416,25;2548035,5;1149189;1350611,5;1444666,62;1564803,25;2910398,5;3748347;3274373,75;2828821
67182;1;sp|P0AG44|RL17_ECOLI;;sp|P0AG44|RL17_ECOLI 50S ribosomal protein L17 OS=Escherichia coli (strain K12) OX=83333 GN=rplQ PE=1 SV=1;124,218;true;2;1;0;0;0;-1;2;2;2;2;21;21;1;2;1;1;;;;;2;2;1;1;1;2;1;1;0;0;0;0;2;2;1;1;4371797;5590815;5292377;4535694;1911804,12;2722148,5;2256590;2152826,5;6136487,5;4731072;5183270;5511877;3750790;4950705,5;4991226;4192817;1950225,62;2758214,75;2226944;2147858,25;6291155,5;4746218,5;5221142;5511877
67185;1;sp|P0AG55|RL6_ECOLI;;sp|P0AG55|RL6_ECOLI 50S ribosomal protein L6 OS=Escherichia coli (strain K12) OX=83333 GN=rplF PE=1 SV=2;276,471;true;2;1;0;0;0;-1;5;5;6;6;63;63;3;4;4;2;1;1;3;1;4;2;4;4;3;5;4;2;1;1;3;1;4;2;4;4;16305892;15967636;14875095;16700922;5655825,5;5892116;5050671;5822844,5;15509344;14989734;14973946;17291818;13989665;14139453;14028661;15438414;5769490,5;5970182;4984317,5;5809407;15900251;15037723;15083358;17291818
67203;1;sp|P00962|SYQ_ECOLI;;sp|P00962|SYQ_ECOLI Glutamine--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=glnS PE=1 SV=3;99,198;true;2;1;0;0;0;-1;2;2;2;2;22;22;1;1;1;1;1;;;;1;1;1;1;1;2;1;1;1;;;0;1;2;1;1;273548,16;253360,45;220958,86;278751,81;75488,92;;;46463,48;191726,98;277624,84;173928,97;233562,95;234691,08;224352,44;208385,69;257679,52;77006,02;;;46356,25;196559,39;278513,66;175199,81;233562,95
67209;1;sp|P69828|PTKA_ECOLI;;sp|P69828|PTKA_ECOLI PTS system galactitol-specific EIIA component OS=Escherichia coli (strain K12) OX=83333 GN=gatA PE=1 SV=1;94,291;true;2;1;0;0;0;-1;2;2;2;2;25;25;1;1;2;1;1;1;;;1;1;1;1;1;1;2;1;1;1;0;0;1;2;1;1;1262019,75;1255465;1127450,75;1359457,75;735592,19;336307,69;505327,09;400452,5;1116603,12;1178642,75;1094608,38;1020753,62;1082751,75;1111722,88;1063295,75;1256689,25;750375,38;340763,47;498688,38;399528,38;1144746,75;1182416,25;1102606,38;1020753,62
67233;1;sp|P0A9M0|LON_ECOLI;;sp|P0A9M0|LON_ECOLI Lon protease OS=Escherichia coli (strain K12) OX=83333 GN=lon PE=1 SV=1;81,185;true;2;1;0;0;0;-1;2;2;2;2;9;9;;1;;;;;;;1;1;1;;0;1;0;0;0;0;0;0;1;1;1;0;752342,88;448633,03;725766,62;437435,72;269419,81;211976,92;442202,03;177022,52;776408;764728,56;929063,19;594804,75;645473,75;397267,66;684468,5;404367,69;274834,34;214785,44;436392,59;176613,98;795977,12;767176,88;935851,62;594804,75
67272;1;sp|Q46938|KDUI_ECOLI;;sp|Q46938|KDUI_ECOLI 4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase OS=Escherichia coli (strain K12) OX=83333 GN=kduI PE=1 SV=1;330,4;true;2;1;0;0;0;-1;6;6;6;6;74;74;3;4;5;4;1;2;;1;3;5;5;5;3;5;6;4;1;2;0;1;3;6;5;5;6577186,5;6316097;5455000,5;6378746,5;3584707,5;2348261;2722869,5;2289723;5780245,5;6431272;5353759;5900031;5642907;5592948;5144596;5896544;3656749,5;2379373,5;2687097,5;2284439;5925935;6451862;5392877,5;5900031
67278;1;sp|P00954|SYW_ECOLI;;sp|P00954|SYW_ECOLI Tryptophan--tRNA ligase OS=Escherichia coli (strain K12) OX=83333 GN=trpS PE=1 SV=3;81,405;true;2;1;0;0;0;-1;3;3;3;3;10;10;1;1;;;;;;;;;;;1;1;0;0;0;;;0;0;0;0;0;873746,06;392830,56;354145,34;669362,44;253946;;;289921,31;365115,94;650710,12;419288,88;441711,34;749631,81;347854,19;333993,5;618761,88;259049,56;;;289252,25;374318,56;652793,38;422352,5;441711,34
67281;1;sp|P0ADW3|YHCB_ECOLI;;sp|P0ADW3|YHCB_ECOLI Inner membrane protein YhcB OS=Escherichia coli (strain K12) OX=83333 GN=yhcB PE=1 SV=2;24,258;true;2;1;0;0;0;-1;1;1;1;1;1;1;;;;;;;;;;;;;0;;0;0;0;0;0;0;0;0;0;0;283537,62;;346491,91;340753,19;189382,73;262954,06;262189,44;222934,48;357665,81;268260,19;341507,31;383969,91;243261,55;;326775,56;314993,88;193188,77;266437,97;258744,92;222420;366680,66;269119,03;344002,59;383969,91
67322;1;sp|P00363|FRDA_ECOLI;;sp|P00363|FRDA_ECOLI Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) OX=83333 GN=frdA PE=1 SV=3;41,835;true;2;1;0;0;0;-1;1;1;1;1;8;8;;;;1;;1;;;1;1;1;;0;0;0;1;0;1;0;0;1;1;1;0;113202,43;85949,98;88385,58;68091,41;66108,2;63373,19;97380,53;61691,6;147039,08;142148,34;128882,34;164256,81;97122,2;76109,3;83356,2;62944,03;67436,77;64212,83;96101,2;61549,23;150745,14;142603,42;129824,05;164256,81
67336;1;sp|P28304|QOR1_ECOLI;;sp|P28304|QOR1_ECOLI Quinone oxidoreductase 1 OS=Escherichia coli (strain K12) OX=83333 GN=qorA PE=1 SV=1;60,183;true;2;1;0;0;0;-1;1;1;1;1;3;3;1;;;1;;;;;;;;;1;0;0;1;;;;;0;0;0;0;131070,02;158566,75;64587,74;134611,61;;;;;37330,5;89038,73;76757,81;69750,23;112451,73;140411,95;60912,52;124435,62;;;;;38271,4;89323,78;77318,66;69750,23
67343;1;sp|P0ACF8|HNS_ECOLI;;sp|P0ACF8|HNS_ECOLI DNA-binding protein H-NS OS=Escherichia coli (strain K12) OX=83333 GN=hns PE=1 SV=2;689,666;true;2;1;0;0;0;-1;8;8;12;12;294;294;8;7;6;7;7;4;4;4;7;7;8;8;10;11;8;9;7;5;4;4;13;10;9;11;30831570;30162074;25463152;33033790;12391400;11041279;12050470;10940818;24249806;27419492;29530416;27464208;26451992;26708724;24014228;30536596;12640431;11187567;11892156;10915570;24861018;27507272;29746188;27464208
67368;1;sp|P15254|PUR4_ECOLI;;sp|P15254|PUR4_ECOLI Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) OX=83333 GN=purL PE=1 SV=3;214,332;true;2;1;0;0;0;-1;4;4;4;4;19;19;2;1;;3;;;;;3;;3;2;2;1;0;3;0;0;0;0;3;0;3;2;963915,44;1503927,25;845216,38;764453,06;484805,03;409479,06;666476,5;583144,69;1274426,38;650758,62;1014241,69;735344,81;826992,75;1331738;797121,25;706664,12;494548,19;414904,34;657720,69;581798,88;1306547,88;652842;1021652,44;735344,81
67390;1;sp|P22255|CYSQ_ECOLI;;sp|P22255|CYSQ_ECOLI 3'(2'),5'-bisphosphate nucleotidase CysQ OS=Escherichia coli (strain K12) OX=83333 GN=cysQ PE=1 SV=2;19,595;true;2;1;0;0;0;-1;1;1;1;1;1;1;1;;;;;;;;;;;;1;0;0;0;;;;;0;0;0;0;520792;204098,48;421417,16;364822,47;;;;;314716,88;361460,56;322570,34;187076,64;446814,31;180730,62;397437,34;337243,66;;;;;322649,22;362617,78;324927,28;187076,64
67444;1;sp|P37744|RMLA1_ECOLI;;sp|P37744|RMLA1_ECOLI Glucose-1-phosphate thymidylyltransferase 1 OS=Escherichia coli (strain K12) OX=83333 GN=rfbA PE=1 SV=2;28,537;true;2;1;0;0;0;-1;1;1;1;1;2;2;;;;;;;;;;;1;;0;0;0;0;0;;;;0;0;1;;256411,8;354168,5;327091,41;233293,59;214938,8;;;;517516,31;384465,41;445566,22;;219988,91;313618,66;308479;215657,72;219258,42;;;;530560,12;385696,28;448821,84;
67486;1;sp|P09551|ARGT_ECOLI;;sp|P09551|ARGT_ECOLI Lysine/arginine/ornithine-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=argT PE=1 SV=3;73,729;true;2;1;0;0;0;-1;1;1;1;1;12;12;;1;1;;;;;;1;1;;1;;1;1;;;;;;1;1;0;1;;458500,47;654200,25;;;;;;502066,81;638769;724172,94;695603,69;;406005,34;616974,44;;;;;;514721,25;640814;729464,25;695603,69
67524;1;sp|P00864|CAPP_ECOLI;;sp|P00864|CAPP_ECOLI Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) OX=83333 GN=ppc PE=1 SV=1;59,028;true;2;1;0;0;0;-1;2;2;2;2;9;9;1;;;;;;;;1;;1;1;1;0;0;0;0;0;0;0;1;0;1;1;961984;968669,25;737835,12;756388,25;458913,38;560317,62;163145,03;369567,53;970438;848868;768590,25;797197,56;825335,69;857763,31;695850,25;699208,88;468136,16;567741,38;161001,7;368714,66;994897,56;851585,62;774206,12;797197,56
67527;1;sp|P06959|ODP2_ECOLI;;sp|P06959|ODP2_ECOLI Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) OX=83333 GN=aceF PE=1 SV=3;368,532;true;2;1;0;0;0;-1;8;8;8;8;75;75;2;5;5;4;1;2;1;1;5;5;6;2;2;5;5;4;1;2;1;1;6;5;6;2;4040613,5;5005359;4102879,5;4565922,5;1955452,38;2088278;1637663,38;1748200,88;4129501;4679228;5158331,5;3590302,75;3466650,5;4432280,5;3869414,5;4220761;1994751;2115945,75;1616148,5;1744166,38;4233583,5;4694208;5196021,5;3590302,75
67536;1;sp|P80668|FEAB_ECOLI;;sp|P80668|FEAB_ECOLI Phenylacetaldehyde dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=feaB PE=1 SV=2;40,439;true;2;1;2;0;0;-1;2;1;2;1;13;1;;;1;;1;1;;1;1;1;1;1;0;0;1;0;1;1;0;1;1;1;1;1;2960465,5;3289536,25;2812314,5;2957007,75;3444507,5;2456115,75;2665003,5;3720281,25;2796758,25;2506945;3054234;2194262,25;2539936;2912907;2652286;2733472,25;3513731,75;2488657,25;2629992;3711695,5;2867249,5;2514971;3076550,5;2194262,25
67538;1;sp|P0AG48|RL21_ECOLI;;sp|P0AG48|RL21_ECOLI 50S ribosomal protein L21 OS=Escherichia coli (strain K12) OX=83333 GN=rplU PE=1 SV=1;31,786;true;2;1;0;0;0;-1;1;1;1;1;11;11;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5115033,5;5843575;4267178;4990788;2144446,75;2383630,75;2456112,25;2307899,25;5474890,5;5209346;4343138,5;5398987;4388451;5174526;4024363,75;4613508,5;2187543,75;2415211,75;2423845;2302573,25;5612883;5226023,5;4374872,5;5398987
67545;1;sp|P0A7W7|RS8_ECOLI;;sp|P0A7W7|RS8_ECOLI 30S ribosomal protein S8 OS=Escherichia coli (strain K12) OX=83333 GN=rpsH PE=1 SV=2;139,279;true;2;1;0;0;0;-1;4;4;5;5;52;52;2;2;1;1;2;;;;3;2;4;3;2;2;1;1;3;0;0;0;6;3;4;3;2212771;1401872,62;1105404,62;1470116,38;885673,44;992397,75;891651,31;614001,56;1905361,38;1693030,88;1840600,88;2192270,5;1898450,5;1241368;1042504,06;1358982,75;903472,75;1005546,12;879937,25;612584,56;1953385,38;1698451,12;1854049,62;2192270,5
67548;1;sp|P39187|YTFJ_ECOLI;;sp|P39187|YTFJ_ECOLI Uncharacterized protein YtfJ OS=Escherichia coli (strain K12) OX=83333 GN=ytfJ PE=1 SV=1;58,978;true;2;1;0;0;0;-1;1;1;1;1;19;19;1;1;1;1;;;;;1;1;1;1;2;1;1;1;0;0;;0;1;1;1;1;239054,39;253369,88;206070,56;203904,53;142629,64;96594,19;;79152,46;221628,59;257838,61;211373,06;221093,86;205097,09;224360,78;194344,58;188490,33;145496,08;97873,98;;78969,8;227214,67;258664,08;212917,5;221093,86
67620;1;sp|P69441|KAD_ECOLI;;sp|P69441|KAD_ECOLI Adenylate kinase OS=Escherichia coli (strain K12) OX=83333 GN=adk PE=1 SV=1;209,187;true;2;1;0;0;0;-1;5;4;5;4;107;67;4;4;5;4;3;3;3;3;3;4;4;4;5;5;6;5;4;4;4;4;4;5;5;5;4441028,5;3663922;4503180;3999353;2865641,75;2515858;3106951;3285950,5;4575474;4612236;4565235,5;4431517;3810187,25;3244428,5;4246936,5;3697021;2923232,5;2549191;3066133,5;3278367,5;4690797;4627002;4598592;4431517
